solar_TIMESTAMP,NZL_HUA_HUA_Aau_Jt_4,ta,rh,sw_in,ppfd_in,ws,precip,swc_shallow,swc_deep,ext_rad,vpd
2012-09-20 00:31:30+00:00,118.0252,3.0555,100.0,0.010805685,0.022845,0.0,0.0,0.537,0.63,0.0,0.0
2012-09-20 00:46:30+00:00,113.4905,3.1270001,100.0,0.0045502599999999,0.00962,0.0,0.0,0.537,0.63,0.0,0.0
2012-09-20 01:01:30+00:00,113.4905,2.7205,100.0,0.0085305549999999,0.018035,0.0,0.0,0.537,0.63,0.0,0.0
2012-09-20 01:16:30+00:00,113.4905,2.3139999,100.0,0.01251085,0.02645,0.0,0.0,0.537,0.63,0.0,0.0
2012-09-20 01:31:30+00:00,118.0252,1.9984999,100.0,0.0130808149999999,0.027655,0.0,0.0,0.537,0.63,0.0,0.0
2012-09-20 01:46:30+00:00,113.4905,1.683,100.0,0.01365078,0.02886,0.0,0.0,0.537,0.63,0.0,0.0
2012-09-20 02:01:30+00:00,113.4905,1.946,100.0,0.01194325,0.02525,0.0,0.0,0.537,0.63,0.0,0.0
2012-09-20 02:16:30+00:00,99.3921,2.2090001,100.0,0.0102357199999999,0.02164,0.0,0.0,0.537,0.63,0.0,0.0
2012-09-20 02:31:30+00:00,99.3921,2.768,100.0,0.006823025,0.014425,0.0,0.0,0.5365,0.63,0.0,0.0
2012-09-20 02:46:30+00:00,99.3921,3.3269999,100.0,0.00341033,0.00721,0.0,0.0,0.536,0.63,0.0,0.0
2012-09-20 03:01:30+00:00,94.9826,3.0374999,100.0,0.003980295,0.008415,0.0,0.0,0.536,0.63,0.0,0.0
2012-09-20 03:16:30+00:00,99.3921,2.7479999,100.0,0.0045502599999999,0.00962,0.0,0.0,0.536,0.63,0.0,0.0
2012-09-20 03:31:30+00:00,99.3921,2.3805,100.0,0.00682539,0.01443,0.0,0.0,0.536,0.63,0.0,0.0
2012-09-20 03:46:30+00:00,99.3921,2.013,100.0,0.0091005199999999,0.01924,0.0,0.0,0.536,0.63,0.0,0.0
2012-09-20 04:01:30+00:00,99.3921,1.595,100.0,0.012513215,0.026455,0.0,0.0,0.536,0.63,0.0,0.0
2012-09-20 04:16:30+00:00,99.3921,1.177,100.0,0.0159259099999999,0.03367,0.0,0.0,0.536,0.63,0.0,0.0
2012-09-20 04:31:30+00:00,85.8583,1.1165,100.0,0.012513215,0.026455,0.0,0.0,0.536,0.63,0.0,0.0
2012-09-20 04:46:30+00:00,85.8583,1.056,100.0,0.0091005199999999,0.01924,0.0,0.0,0.536,0.63,0.0,0.0
