solar_TIMESTAMP,GUF_GUY_ST2_Dgu_Js_1,ta,rh,sw_in,ppfd_in,ws,precip,swc_shallow,swc_deep,ext_rad,vpd
2008-11-05 05:44:06+00:00,45.62360391070161,23.06,94.78705418488926,0.0,1.3699999999999974,1.642,0.0,0.1,0.283,0.0,0.1470831236308312
2008-11-05 06:14:06+00:00,45.62360391070161,22.85,95.61580379450837,3.095,9.849999999999998,1.979,0.0,0.1,0.283,141.82843455285698,0.1221423015761237
2008-11-05 06:44:06+00:00,45.62360391070161,22.94,95.4974109931342,49.97,95.58,2.074,0.0,0.1,0.283,312.7886067840963,0.1261241589945743
2008-11-05 07:14:06+00:00,19.264620922780885,22.6,95.61580379450837,166.3,295.18,1.867,0.0,0.1,0.283,477.7974644458062,0.1203099071629862
2008-11-05 07:44:06+00:00,0.0,23.52,94.07669737664432,280.9,585.08,1.083,0.0,0.1,0.283,634.0317913626925,0.1718163457728214
2008-11-05 08:14:06+00:00,45.62360391070161,25.12,89.2225925203039,389.2,849.38,0.388,0.0,0.1,0.283,778.8185019949069,0.3439248749311568
2008-11-05 08:44:06+00:00,2223.124989767593,27.58,78.8040259993781,508.3,1069.38,0.382,0.0,0.1,0.283,909.680376360002,0.7813705565879022
2008-11-05 09:14:06+00:00,10936.876326056064,28.12,73.00277873204443,681.7,1369.38,1.579,0.0,0.1,0.283,1024.3784437138024,1.0268487405873452
2008-11-05 09:44:06+00:00,12824.297360143451,28.4,69.46283397095713,662.3,1287.38,1.93,0.0,0.1,0.283,1120.9502898351989,1.1804183383758615
2008-11-05 10:14:06+00:00,13326.88592642945,28.67,67.35544210649715,642.2,1176.38,2.518,0.0,0.1,0.283,1197.7436325059111,1.2816573351415634
2008-11-05 10:44:06+00:00,12824.297360143451,28.98,65.60322864615964,732.0,1388.38,2.53,0.0,0.1,0.283,1253.444590737928,1.3747224265549525
2008-11-05 11:14:06+00:00,13157.931009584345,29.79,61.814659002186616,897.0,1678.38,2.245,0.0,0.1,0.283,1287.1001640885922,1.5985135819671714
2008-11-05 11:44:06+00:00,12659.59215973206,29.68,59.82565993910079,971.0,1835.38,2.549,0.0,0.1,0.283,1298.1345374676278,1.6712579372294194
2008-11-05 12:14:06+00:00,12173.768077145922,30.14,58.724606886321126,831.0,1586.38,2.741,0.0,0.1,0.283,1286.3589324835573,1.7626456881450157
2008-11-05 12:44:06+00:00,12173.768077145922,29.94,59.93221346033752,876.0,1692.38,3.491,0.0,0.1,0.283,1251.974836792652,1.6917139074916865
2008-11-05 13:14:06+00:00,12334.340209107588,30.1,59.10346385071843,909.0,1731.38,3.034,0.0,0.1,0.283,1195.570556212767,1.74249892985207
2008-11-05 13:44:06+00:00,12173.768077145922,30.11,59.21001737195516,913.0,1794.38,3.389,0.0,0.1,0.283,1118.111148608134,1.7389476062557383
2008-11-05 14:14:06+00:00,11700.1184335574,30.15,60.145320502811,732.0,1477.38,3.586,0.0,0.1,0.283,1020.9219117849324,1.7029426738479871
2008-11-05 14:44:06+00:00,11238.31686293172,30.03,59.458642254840896,733.0,1469.38,3.718,0.0,0.1,0.283,905.6657079244096,1.7205006836366197
2008-11-05 15:14:06+00:00,10349.01896003486,30.27,58.18000000000001,624.9,1292.38,3.273,0.0,0.1,0.283,774.3145125323441,1.7991444001228991
2008-11-05 15:44:06+00:00,9503.522295123272,30.19,58.42862488288573,515.1,1076.38,2.71,0.0,0.1,0.283,629.1156746978792,1.7803382021971974
2008-11-05 16:14:06+00:00,8440.61984427297,29.85,60.78464163023145,401.5,841.38,3.42,0.0,0.1,0.283,472.5534659400096,1.647256193216128
2008-11-05 16:44:06+00:00,7447.13163557884,29.39,65.20069312148749,272.9,607.28,3.206,0.0,0.1,0.283,307.3065755270229,1.4238682405336984
2008-11-05 17:14:06+00:00,6407.326707595829,28.71,70.3507799812633,147.2,321.28,3.056,0.0,0.1,0.283,136.20227950680123,1.1667390288112265
2008-11-05 17:44:06+00:00,5342.732785019731,28.07,74.77867075265678,59.95,123.38,2.937,0.0,0.1,0.283,0.0,0.9565334250891898
2008-11-05 18:14:06+00:00,4461.529909008571,27.41,79.27759720487472,3.986,11.43,2.59,0.0,0.1,0.283,0.0,0.7564059384079358
2008-11-05 18:44:06+00:00,3649.521899265508,27.02,81.52706043098371,0.0,1.1899999999999975,2.048,0.0,0.1,0.283,0.0,0.659157186178982
2008-11-05 19:14:06+00:00,2825.1580074569283,26.75,83.06616684884774,0.0,1.4299999999999995,2.152,0.0,0.1,0.283,0.0,0.5947880148356441
2008-11-05 19:44:06+00:00,2295.6110549106124,26.63,83.89491645846685,0.0,0.91,2.352,0.0,0.1,0.283,0.0,0.5617231385411681
2008-11-05 20:14:06+00:00,1804.82639988861,26.49,84.96045167083425,0.0,1.0299999999999976,2.423,0.0,0.1,0.283,0.0,0.5202771584146206
2008-11-05 20:44:06+00:00,1478.1752583558105,26.51,85.07884447220842,0.0,1.25,2.601,0.0,0.1,0.283,0.0,0.5167864962917427
2008-11-05 21:14:06+00:00,1171.9029741198408,26.44,85.78920128045336,0.0,1.349999999999998,2.434,0.0,0.1,0.283,0.0,0.4901694614566657
2008-11-05 21:44:06+00:00,998.2345962589172,26.38,86.38116528732414,0.0,0.3499999999999978,2.387,0.0,0.1,0.282,0.0,0.4681018631087704
2008-11-05 22:14:06+00:00,778.997876059354,26.42,86.26277248594998,0.0,1.5700000000000005,1.886,0.0,0.1,0.282,0.0,0.4732796420608461
2008-11-05 22:44:06+00:00,674.916940013961,26.16,87.5650933010657,0.0,1.0700000000000005,1.418,0.0,0.1,0.282,0.0,0.4219258977316928
2008-11-05 23:14:06+00:00,574.7370958488385,25.84,88.86741411618142,0.0,0.8399999999999999,0.978,0.0,0.1,0.282,0.0,0.3706944345657526
2008-11-05 23:44:06+00:00,345.7394370846596,25.6,89.92290156676138,0.0,0.4399999999999977,1.141,0.0,0.1,0.282,0.0,0.3308346239644585
2008-11-06 00:14:06+00:00,302.5728451882086,25.77,89.08256330892746,0.0,0.6499999999999986,1.592,0.0,0.1,0.282,0.0,0.3620343699049153
2008-11-06 00:43:58+00:00,220.3632480380335,25.56,89.68280492166598,0.0,0.7300000000000004,1.113,0.0,0.1,0.282,0.0,0.33791837314633
2008-11-06 01:13:58+00:00,181.53198838403884,25.58,89.20261163147516,0.0,0.75,1.088,0.0,0.1,0.282,0.0,0.3540638392845488
2008-11-06 01:43:58+00:00,144.4105703911802,24.89,92.5639646628108,0.0,0.7099999999999973,0.657,0.0,0.1,0.282,0.0,0.2340813633800448
2008-11-06 02:13:58+00:00,144.4105703911802,24.68,93.5243512431924,0.0,0.7300000000000004,1.231,0.0,0.1,0.282,0.0,0.201321378848004
2008-11-06 02:43:58+00:00,109.21031632392462,24.77,94.0045445333832,0.0,1.0700000000000005,1.05,0.0,0.1,0.282,0.0,0.1873925412148578
2008-11-06 03:13:58+00:00,76.23865966437589,24.73,94.0045445333832,0.0,1.3200000000000005,1.514,0.0,0.1,0.282,0.0,0.1869475801678551
2008-11-06 03:43:58+00:00,76.23865966437589,24.7,94.12459285593091,0.0,0.6600000000000001,0.861,0.0,0.1,0.282,0.0,0.1828778326032206
2008-11-06 04:13:58+00:00,45.98966268363007,24.37,95.32507608140791,0.0,1.1699999999999982,1.454,0.0,0.1,0.282,0.0,0.142680448858343
2008-11-06 04:43:58+00:00,45.98966268363007,24.42,95.20502775886024,0.0,0.0,1.801,0.0,0.1,0.282,0.0,0.146781205395168
2008-11-06 05:13:58+00:00,45.98966268363007,23.88,96.76565595198034,0.0,1.3999999999999986,1.913,0.0,0.1,0.282,0.0,0.095865357376208
2008-11-06 05:43:58+00:00,45.98966268363007,23.9,97.48594588726657,0.0,1.9800000000000004,1.779,0.0,0.1,0.282,0.0,0.0746053704645642
2008-11-06 06:13:58+00:00,19.418857012066223,23.8,98.08618750000504,4.208,10.64,1.551,0.0,0.1,0.282,140.00081838625653,0.0564539099021975
2008-11-06 06:43:58+00:00,19.418857012066223,23.69,98.08618750000504,65.14,107.98,1.961,0.0,0.1,0.282,310.81576704804706,0.0560829128372917
2008-11-06 07:13:58+00:00,0.0,23.72,97.96613917745734,152.6,284.08,1.632,0.0,0.1,0.282,475.7019692988613,0.0597081500747565
2008-11-06 07:43:58+00:00,0.0,24.33,96.88570427452804,276.2,592.38,1.137,0.0,0.1,0.282,631.8383619491303,0.0948230301050796
2008-11-06 08:13:58+00:00,19.418857012066223,26.21,91.48352975988148,384.6,860.38,0.244,0.0,0.1,0.282,776.5535866068401,0.2898200660915954
2008-11-06 08:43:58+00:00,2464.558003271032,27.74,81.51951898842229,399.1,848.38,0.837,0.0,0.1,0.282,907.3716941661854,0.6876192464659595
2008-11-06 09:13:58+00:00,8789.903224040905,27.93,76.11734447377574,293.7,589.78,1.0,0.0,0.1,0.282,1022.0545059262346,0.8984572442739517
2008-11-06 09:43:58+00:00,10755.324220291834,28.47,74.19657131301251,456.0,902.38,0.786,0.0,0.1,0.282,1118.6399065836486,1.0014680067388455
2008-11-06 10:13:58+00:00,13137.002616158525,28.85,72.0357015071539,629.5,1223.38,1.092,0.0,0.1,0.282,1195.4754139487125,1.1093266054151183
2008-11-06 10:43:58+00:00,14178.394625455472,29.58,67.28178793426494,932.0,1807.38,1.508,0.0,0.1,0.282,1251.24645104631,1.3533339800619737
2008-11-06 11:13:58+00:00,13306.870036038632,29.67,65.62512108310665,473.2,902.38,2.247,0.0,0.1,0.282,1284.9988369025596,1.42918374446841
2008-11-06 11:43:58+00:00,13306.870036038632,29.74,63.632318928814826,719.0,1362.38,3.349,0.0,0.1,0.282,1296.1551112324737,1.518088060584007
2008-11-06 12:13:58+00:00,12636.0259964407,29.8,63.96845423194839,753.0,1434.38,4.163,0.0,0.1,0.282,1284.5244137412878,1.5092116601316174
2008-11-06 12:43:58+00:00,12471.86442773345,29.77,64.5206765156678,813.0,1560.38,3.917,0.0,0.1,0.282,1250.3057490278293,1.483541592019328
2008-11-06 13:13:58+00:00,12636.0259964407,30.04,64.41263302537489,897.0,1741.38,3.317,0.0,0.1,0.282,1194.084581245009,1.5111220359677764
2008-11-06 13:43:58+00:00,12636.0259964407,30.26,63.06809181284062,954.0,1910.38,3.17,0.0,0.1,0.282,1116.8228167945026,1.5879509212044076
2008-11-06 14:13:58+00:00,11987.689600737958,30.01,64.62872000596074,708.0,1419.38,3.897,0.0,0.1,0.282,1019.8423464571756,1.4993845557308514
2008-11-06 14:43:58+00:00,11829.025812654134,30.1,62.84,695.1,1398.38,3.369,0.0,0.1,0.282,904.8024285526468,1.5832944872628385
2008-11-06 15:13:58+00:00,10607.076670906265,29.54,65.36101477350171,404.5,838.38,4.041,0.0,0.099,0.282,773.6713000946153,1.429513625734143
2008-11-06 15:43:58+00:00,9603.774645715515,28.91,69.53869639816172,206.4,418.28,3.601,0.0,0.099,0.282,628.6925016615183,1.212552758165499
2008-11-06 16:13:58+00:00,8398.235305677157,28.34,72.87603976498781,185.6,382.98,3.107,0.0,0.1,0.282,472.3464921438075,1.0448583646088137
2008-11-06 16:43:58+00:00,7767.245767237813,28.37,74.91686124829873,229.0,479.68,2.716,0.0,0.099,0.282,307.30821011369824,0.9679161666904144
2008-11-06 17:13:58+00:00,6697.1975465200485,28.25,75.51710286103724,90.4,188.18,2.864,0.0,0.099,0.282,136.40130791057535,0.93823452912905
2008-11-06 17:43:58+00:00,5089.1132195322825,27.92,77.07773105415735,27.0,57.88,1.94,0.0,0.099,0.282,0.0,0.8618288103608269
2008-11-06 18:13:58+00:00,3859.385205612635,27.54,79.83884247275448,2.236,5.489999999999998,1.971,0.0,0.099,0.282,0.0,0.7414989260789526
2008-11-06 18:43:58+00:00,3173.6646887139104,27.28,82.3598572462562,0.0,1.16,3.346,0.0,0.099,0.282,0.0,0.6390475249154065
2008-11-06 19:13:58+00:00,2771.658738325149,26.88,83.68038879428092,0.0,0.8099999999999987,2.795,0.0,0.099,0.282,0.0,0.5775836540864746
2008-11-06 19:43:58+00:00,2315.81655825287,26.57,85.48111363249643,0.0,1.4800000000000004,2.157,0.0,0.099,0.282,0.0,0.504623767052812
2008-11-06 20:13:58+00:00,1888.8106420371157,26.61,85.48111363249643,0.0,1.1999999999999993,1.092,0.0,0.099,0.282,0.0,0.5058065046072254
2008-11-06 20:43:58+00:00,1490.8266486439325,26.59,85.12096866485334,0.0,0.9599999999999972,0.535,0.0,0.099,0.282,0.0,0.5177468316928965
2008-11-06 21:13:58+00:00,1122.55359560119,26.78,84.28063040701942,0.0,1.3099999999999987,1.542,0.0,0.099,0.282,0.0,0.5530997788295926
2008-11-06 21:43:58+00:00,949.9802287923376,26.81,84.04053376192401,0.0,0.8299999999999983,1.369,0.0,0.099,0.281,0.0,0.562532942432335
2008-11-06 22:13:58+00:00,785.4860237087103,26.49,85.60116195504413,0.0,1.0599999999999987,0.442,0.0,0.099,0.281,0.0,0.4981124684425624
2008-11-06 22:43:58+00:00,629.4925387678303,26.19,87.52193511580735,0.0,0.9599999999999972,0.571,0.0,0.099,0.281,0.0,0.4241368970698327
2008-11-06 23:13:58+00:00,530.5086023972927,25.86,89.56275659911826,0.0,1.1699999999999982,1.337,0.0,0.099,0.281,0.0,0.3479503793068726
2008-11-06 23:43:58+00:00,338.6421239429757,25.58,91.37159140489064,0.0,1.3699999999999974,1.295,0.0,0.099,0.281,0.0,0.2829394821997684
2008-11-07 00:13:58+00:00,146.77564548865865,25.91,89.56357438918356,0.0,0.6400000000000006,0.643,0.0,0.099,0.281,0.0,0.3489487440710707
2008-11-07 00:43:50+00:00,77.48178070711725,25.59,90.8894535340354,0.0,0.4499999999999993,1.301,0.0,0.099,0.281,0.0,0.2989259313893724
2008-11-07 01:13:50+00:00,46.73791424198322,25.06,93.05907395288388,0.0,1.0299999999999976,1.388,0.0,0.099,0.281,0.0,0.2207102190162669
2008-11-07 01:43:50+00:00,46.73791424198322,24.9,95.3492288394462,0.0,1.3099999999999987,1.352,0.0,0.099,0.281,0.0,0.1464900619443247
2008-11-07 02:13:50+00:00,19.734112304975778,25.39,92.69747054974248,0.0,0.6699999999999982,0.504,0.0,0.099,0.281,0.0,0.2367893507369189
2008-11-07 02:43:50+00:00,19.734112304975778,25.64,90.76891906632162,0.0,0.8099999999999987,0.454,0.0,0.099,0.281,0.0,0.3037756515360169
2008-11-07 03:13:50+00:00,46.73791424198322,24.5,94.50548756544956,0.0,0.509999999999998,1.619,0.0,0.099,0.281,0.0,0.1689987414366551
2008-11-07 03:43:50+00:00,46.73791424198322,24.72,95.7108322425876,0.0,1.3299999999999983,1.219,0.0,0.1,0.281,0.0,0.1336634085235084
2008-11-07 04:13:50+00:00,19.734112304975778,24.59,94.74655650087718,0.0,1.129999999999999,1.15,0.0,0.1,0.281,0.0,0.1624521295343484
2008-11-07 04:43:50+00:00,46.73791424198322,24.1,97.15724585515328,0.0,0.6799999999999997,1.632,0.0,0.1,0.281,0.0,0.0853748249669744
2008-11-07 05:13:50+00:00,19.734112304975778,23.87,97.8804526614361,0.0,0.879999999999999,2.071,0.0,0.1,0.281,0.0,0.062785386624673
2008-11-07 05:43:50+00:00,19.734112304975778,24.26,98.1215215968637,0.0,0.7799999999999976,1.427,0.0,0.1,0.281,0.0,0.0569569137376353
2008-11-07 06:13:50+00:00,19.734112304975778,23.9,97.7599181937223,3.141,9.68,2.023,0.0,0.1,0.281,138.10314659889443,0.0664751534908579
2008-11-07 06:43:50+00:00,19.734112304975778,23.86,98.48312500000512,50.8,92.88,2.171,0.0,0.1,0.281,308.77296333232414,0.044906085191367
2008-11-07 07:13:50+00:00,0.0,24.05,98.1215215968637,148.1,249.38,1.805,0.0,0.1,0.281,473.5379727248183,0.0562469259784196
2008-11-07 07:43:50+00:00,0.0,24.44,97.51884925829468,219.3,465.38,1.231,0.0,0.1,0.281,629.5792397794787,0.076042278847054
2008-11-07 08:13:50+00:00,19.734112304975778,25.76,93.90281522688052,304.5,664.98,0.705,0.0,0.1,0.281,774.2270854251018,0.2020703294999845
2008-11-07 08:43:50+00:00,2135.947602147576,27.29,87.27341950262127,512.9,1073.38,0.521,0.0,0.1,0.281,905.0067613865768,0.4613128074679808
2008-11-07 09:13:50+00:00,7676.761723897112,28.07,80.04135143979296,282.7,586.88,1.398,0.0,0.099,0.281,1019.680789935714,0.7569432316679858
2008-11-07 09:43:50+00:00,11613.902636667844,28.55,76.54585187609263,485.3,978.38,1.77,0.0,0.099,0.281,1116.2872441471577,0.9144940710040425
2008-11-07 10:13:50+00:00,10991.869380182172,27.97,79.80028250436536,530.0,1092.38,2.527,0.2,0.099,0.281,1193.1733137384824,0.7616675842412124
2008-11-07 10:43:50+00:00,13094.395416952151,28.72,74.49676592495794,948.0,1896.38,1.388,0.0,0.099,0.281,1249.023582234185,1.0041659437659487
2008-11-07 11:13:50+00:00,13790.312625114071,29.6,68.92807351658014,1029.0,2012.38,3.429,0.0,0.099,0.281,1282.882531676773,1.2867068886860844
2008-11-07 11:43:50+00:00,13266.117231117292,29.56,67.80710296684177,911.0,1787.38,3.737,0.0,0.099,0.281,1294.1708898697048,1.330084957057129
2008-11-07 12:13:50+00:00,12422.179396673482,30.03,65.48078773996532,1039.0,2013.38,3.127,0.0,0.099,0.281,1282.6955404844496,1.4649319015241624
2008-11-07 12:43:50+00:00,12257.724439915362,30.3,64.01026723385691,1051.0,2043.38,3.479,0.0,0.099,0.281,1248.6528264962622,1.550959615520908
2008-11-07 13:13:50+00:00,12094.68227568198,30.21,63.95,770.0,1485.38,4.239,0.0,0.099,0.281,1192.6251904456433,1.5456351181061452
2008-11-07 13:43:50+00:00,11772.78418031526,29.82,65.02275676265288,676.4,1368.38,3.489,0.0,0.099,0.281,1115.571209021421,1.4667225742889758
2008-11-07 14:13:50+00:00,10539.175657906517,29.59,65.51694808027948,192.7,395.98,3.704,0.0,0.099,0.281,1018.8091924758533,1.4271484181154648
2008-11-07 14:43:50+00:00,8574.10245436464,26.99,67.68656849912796,47.46,106.68,3.689,0.0,0.099,0.281,903.994629479682,1.1510021735495288
2008-11-07 15:13:50+00:00,6715.607195799584,25.48,71.36286976439901,386.6,857.38,1.35,0.0,0.099,0.281,773.0918633209444,0.933529502436038
2008-11-07 15:43:50+00:00,7676.761723897112,27.14,69.44637172774952,284.3,577.98,1.814,0.2,0.099,0.281,628.3404840446323,1.097876685192646
2008-11-07 16:13:50+00:00,8312.173227115842,28.31,69.83208202443369,276.2,563.28,2.166,0.0,0.099,0.281,472.2170115327034,1.1601067153937938
2008-11-07 16:43:50+00:00,7068.234284079018,27.96,73.77355911867511,95.6,201.78,1.969,0.0,0.099,0.281,307.39252508830697,0.9883442080569774
