solar_TIMESTAMP,USA_PJS_P04_AMB_Jmo_Js_6,ta,rh,sw_in,ppfd_in,ws,precip,swc_shallow,swc_deep,ext_rad,vpd
2014-09-05 14:26:39+00:00,1244.199299688,26.04,39.54,580.371,1227.0,1.593,0.0,0.0878594642857142,0.06006875,968.970203526692,2.037137010633421
2014-09-05 14:41:39+00:00,1244.199299688,25.97,38.83,575.641,1217.0,1.215,0.0,0.0877353571428571,0.059696875,923.7174229761798,2.0525490831846027
2014-09-05 14:56:39+00:00,1172.938942872,26.13,39.53,558.14,1180.0,1.493,0.0,0.0878416071428571,0.059696875,874.8887205068124,2.0483356458648463
2014-09-05 15:11:39+00:00,1104.244569576,26.16,38.75,458.81,970.0,1.548,0.0,0.0877175,0.059696875,822.6932852363786,2.0784356485755597
2014-09-05 15:26:39+00:00,1005.806246616,25.5,39.65,185.4633,392.1,1.209,0.0,0.0872567857142857,0.058209375,767.3547298943402,1.969435719762327
2014-09-05 15:41:39+00:00,1005.806246616,24.65,42.76,158.928,336.0,1.473,0.0,0.0867782142857143,0.057916875,709.1101328344627,1.7757757274582582
2014-09-05 15:56:39+00:00,824.436654696,24.59,42.3,177.7534,375.8,1.097,0.0,0.0871805357142857,0.05828875,648.2090223581865,1.783641888176746
2014-09-05 16:11:39+00:00,796.104592056,24.34,43.45,83.72099999999999,177.0,1.191,0.0,0.0867019642857143,0.05828875,584.9123077004778,1.7221491923584238
2014-09-05 16:26:39+00:00,768.290494824,23.21,55.27,49.1447,103.9,2.468,0.0,0.0865778571428571,0.057545,519.4911612576384,1.2727119246588252
2014-09-05 16:41:39+00:00,611.841098088,21.8,62.7,52.8341,111.7,2.44,0.0,0.0862055357142857,0.057916875,452.2258568461274,0.9742282210065089
2014-09-05 16:56:39+00:00,516.962016576,21.23,63.33,43.1849,91.3,2.502,0.0,0.0858689285714286,0.057916875,383.4045689692169,0.9249488739624756
2014-09-05 17:11:39+00:00,450.4715910000001,20.86,63.87,43.1849,91.3,1.791,0.0,0.0853903571428571,0.057916875,313.3221382353272,0.8908569698887248
2014-09-05 17:26:39+00:00,387.834804216,19.6,74.2,56.6181,119.7,1.801,0.254,0.0851421428571428,0.057916875,242.27880821793025,0.5884994894294728
2014-09-05 17:41:39+00:00,291.728377512,19.75,73.9,43.2322,91.4,1.622,0.0,0.0850001785714285,0.057916875,170.5789391676942,0.6009103819193333
2014-09-05 17:56:39+00:00,273.726309528,19.91,72.1,41.151,87.0,2.025,0.0,0.0850001785714285,0.057916875,98.52970408799504,0.6487547379090601
2014-09-05 18:11:39+00:00,273.726309528,19.68,73.4,10.37289,21.93,2.296,0.0,0.0845394642857143,0.057916875,26.439772759809177,0.609768206980243
2014-09-05 18:26:39+00:00,238.929707592,19.13,74.6,0.0,0.0,1.862,0.0,0.0841671428571428,0.057916875,0.0,0.5626806552342418
2014-09-05 18:41:39+00:00,189.754551432,18.75,76.1,0.0,0.0,1.835,0.0,0.0842555357142857,0.057916875,0.0,0.5170416454177604
2014-09-05 18:56:39+00:00,159.002476704,18.28,77.5,0.0,0.0,1.704,0.0,0.0834403571428571,0.057916875,0.0,0.4726367648671001
2014-09-05 19:11:39+00:00,159.002476704,17.87,78.2,0.0,0.0,2.183,0.0,0.0834403571428571,0.057916875,0.0,0.4462849137586457
2014-09-05 19:26:39+00:00,116.00461555200002,17.49,79.1,0.0,0.0,2.479,0.0,0.08321,0.057916875,0.0,0.4177334960572947
2014-09-05 19:41:39+00:00,102.537059112,17.16,80.7,0.0,0.0,2.242,0.0,0.0829796428571428,0.057545,0.0,0.3777906410002087
2014-09-05 19:56:39+00:00,102.537059112,16.78,81.4,0.0,0.0,2.311,0.0,0.0827314285714285,0.057545,0.0,0.3554233499964028
2014-09-05 20:11:39+00:00,102.537059112,16.49,82.8,0.0,0.0,2.225,0.0,0.0826073214285714,0.057545,0.0,0.3226688818820278
2014-09-05 20:26:39+00:00,102.537059112,16.18,83.8,0.0,0.0,2.523,0.0,0.0824832142857142,0.057545,0.0,0.2979661970341951
2014-09-05 20:41:39+00:00,102.537059112,16.08,84.7,0.0,0.0,2.428,0.0,0.0823591071428571,0.057545,0.0,0.2796226035169862
2014-09-05 20:56:39+00:00,76.973860296,15.89,84.5,0.0,0.0,2.596,0.0,0.0821466071428571,0.057545,0.0,0.279860333342171
2014-09-05 21:11:39+00:00,64.91626236,15.81,84.3,0.0,0.0,2.452,0.0,0.0817742857142857,0.057916875,0.0,0.2820249189696633
2014-09-05 21:26:39+00:00,64.91626236,15.79,84.2,0.0,0.0,2.178,0.0,0.0817564285714285,0.057545,0.0,0.2834583427267922
2014-09-05 21:41:39+00:00,42.394024008,15.65,85.3,0.0,0.0,2.173,0.0,0.0816501785714285,0.057545,0.0,0.2613709478995774
2014-09-05 21:56:39+00:00,42.394024008,15.48,84.9,0.0,0.0,2.169,0.0,0.0815260714285714,0.057545,0.0,0.2655736072588619
2014-09-05 22:11:39+00:00,32.02167204,15.38,85.5,0.0,0.0,1.852,0.0,0.0814198214285714,0.057545,0.0,0.2533899910828097
2014-09-05 22:26:39+00:00,42.394024008,15.25,86.2,0.0,0.0,1.66,0.0,0.0813135714285714,0.057545,0.0,0.2391524182370494
2014-09-05 22:41:39+00:00,42.394024008,15.06,86.9,0.0,0.0,1.817,0.0,0.0812073214285714,0.057545,0.0,0.2242647793683101
2014-09-05 22:56:39+00:00,32.02167204,14.79,88.3,0.0,0.0,1.891,0.0,0.0811058928571428,0.057545,0.0,0.1968438722227263
2014-09-05 23:11:39+00:00,32.02167204,14.72,88.2,0.0,0.0,2.081,0.0,0.0806630357142857,0.057545,0.0,0.1976318910578631
2014-09-05 23:26:39+00:00,32.02167204,14.64,88.2,0.0,0.0,1.544,0.0,0.0805389285714285,0.0572525,0.0,0.1966140400997433
2014-09-05 23:41:39+00:00,32.02167204,14.21,89.3,0.0,0.0,2.171,0.0,0.0803085714285714,0.0572525,0.0,0.1733957404675037
2014-09-05 23:56:39+00:00,0.0,13.97,89.9,0.0,0.0,1.696,0.0,0.0800960714285714,0.0572525,0.0,0.1611450269335259
2014-09-06 00:12:00+00:00,0.0,14.12,88.7,0.0,0.0,1.651,0.0,0.0799719642857142,0.0572525,0.0,0.1820538782971021
2014-09-06 00:27:00+00:00,0.0,14.18,87.9,0.0,0.0,2.064,0.0,0.0797416071428571,0.0572525,0.0,0.1957022566938397
2014-09-06 00:42:00+00:00,0.0,14.15,88.1,0.0,0.0,2.373,0.0,0.0797237499999999,0.0572525,0.0,0.1920936636812305
2014-09-06 00:57:00+00:00,0.0,14.22,88.0,0.0,0.0,1.649,0.0,0.07972375,0.0572525,0.0,0.1945885324981207
2014-09-06 01:12:00+00:00,13.804381224000002,14.25,87.8,0.0,0.0,1.951,0.0,0.07972375,0.0572525,0.0,0.198216472291526
2014-09-06 01:27:00+00:00,5.846185656,14.19,87.7,0.0,0.0,1.794,0.0,0.07972375,0.0572525,0.0,0.1990659549900308
2014-09-06 01:42:00+00:00,0.0,14.2,87.1,0.0,0.0,1.878,0.0,0.0794755357142857,0.056880625,0.0,0.2089118067848729
2014-09-06 01:57:00+00:00,0.0,14.21,87.0,0.0,0.0,1.387,0.0,0.0794755357142857,0.056880625,0.0,0.2106677220633221
2014-09-06 02:12:00+00:00,0.0,14.24,87.4,0.0,0.0,1.419,0.0,0.0794755357142857,0.056880625,0.0,0.2045828264441005
2014-09-06 02:27:00+00:00,0.0,14.17,87.7,0.0,0.0,1.737,0.0,0.0793514285714285,0.056880625,0.0,0.1988081277718942
2014-09-06 02:42:00+00:00,0.0,14.2,87.6,0.0,0.0,1.512,0.0,0.0793514285714285,0.056880625,0.0,0.2008144499327464
2014-09-06 02:57:00+00:00,0.0,14.18,87.6,0.0,0.0,1.556,0.0,0.0791032142857142,0.056880625,0.0,0.2005543787606294
2014-09-06 03:12:00+00:00,5.846185656,14.04,87.8,0.0,0.0,1.569,0.0,0.0791032142857142,0.056880625,0.0,0.1955366208762099
2014-09-06 03:27:00+00:00,0.0,13.99,87.7,0.0,0.0,1.885,0.0,0.0789969642857142,0.056880625,0.0,0.1965008338331089
2014-09-06 03:42:00+00:00,5.846185656,14.06,87.4,0.0,0.0,1.699,0.0,0.0787666071428571,0.056880625,0.0,0.2022098275471051
2014-09-06 03:57:00+00:00,0.0,14.01,87.8,0.0,0.0,2.093,0.0,0.0788728571428571,0.056880625,0.0,0.1951563916805232
2014-09-06 04:12:00+00:00,5.846185656,13.89,88.5,0.0,0.0,1.779,0.0,0.0786603571428571,0.056880625,0.0,0.1825313500319476
2014-09-06 04:27:00+00:00,5.846185656,13.76,88.3,0.0,0.0,1.287,0.0,0.0784121428571428,0.056880625,0.0,0.1841435750394424
2014-09-06 04:42:00+00:00,5.846185656,13.78,87.5,0.0,0.0,1.425,0.0,0.0784121428571428,0.056880625,0.0,0.1969905613453972
2014-09-06 04:57:00+00:00,5.846185656,13.94,86.1,0.0,0.0,1.532,0.0,0.0783058928571428,0.056880625,0.0,0.2213423602648134
2014-09-06 05:12:00+00:00,5.846185656,14.04,83.8,0.0,0.0,1.752,0.0,0.0782880357142857,0.056880625,0.0,0.2596469883766066
2014-09-06 05:27:00+00:00,5.846185656,14.06,81.9,0.0,0.0,1.541,0.0,0.0781817857142857,0.056880625,0.0,0.2904760221113176
2014-09-06 05:42:00+00:00,5.846185656,14.12,80.4,0.0,0.0,1.987,0.0,0.0781817857142857,0.056880625,5.016211872072969,0.3157748685507258
2014-09-06 05:57:00+00:00,5.846185656,14.08,81.5,0.0,0.0,2.313,0.0,0.0781817857142857,0.056880625,77.16241795544408,0.2972807520938818
2014-09-06 06:12:00+00:00,13.804381224000002,14.08,82.0,0.048246,0.102,2.025,0.0,0.0781817857142857,0.056880625,149.33867989624108,0.2892461371724255
2014-09-06 06:27:00+00:00,5.846185656,14.22,81.3,36.8467,77.9,1.447,0.0,0.0781817857142857,0.056880625,221.23578289925925,0.3032337964762381
2014-09-06 06:42:00+00:00,13.804381224000002,14.53,80.4,68.6796,145.2,1.36,0.0,0.0782880357142857,0.056880625,292.54570809227914,0.3242670562557128
2014-09-06 06:57:00+00:00,32.79255408,14.72,78.4,54.6315,115.5,1.653,0.0,0.0781817857142857,0.056880625,362.9629521292255,0.3617668514279526
2014-09-06 07:12:00+00:00,54.674523792,14.97,75.6,95.6406,202.2,1.542,0.0,0.0779335714285714,0.05650875,432.1858360165327,0.4153014881525732
2014-09-06 07:27:00+00:00,54.674523792,15.32,75.1,105.7155,223.5,1.603,0.0,0.0780576785714285,0.056880625,499.9177975560478,0.4334588110235153
2014-09-06 07:42:00+00:00,66.50227720800001,15.28,75.3,117.4932,248.4,1.926,0.0,0.0779335714285714,0.057173125,565.868661866584,0.4288739714480718
2014-09-06 07:57:00+00:00,147.87863308800002,15.61,73.9,134.805,285.0,1.83,0.0,0.0779335714285714,0.057173125,629.755884541786,0.4628791758145025
2014-09-06 08:12:00+00:00,147.87863308800002,15.67,73.4,126.1491,266.7,2.053,0.0,0.0779335714285714,0.057173125,691.3057621180383,0.4735631536547908
2014-09-06 08:27:00+00:00,194.607268776,15.71,74.4,127.8046,270.2,1.7,0.0,0.0778273214285714,0.057173125,750.2546046663472,0.4569288159125431
2014-09-06 08:42:00+00:00,245.136736872,15.9,73.5,179.7873,380.1,2.518,0.0,0.0779335714285714,0.057173125,806.3498654851417,0.4787768591936794
2014-09-06 08:57:00+00:00,262.816040736,16.24,72.8,206.4172,436.4,1.91,0.0,0.0781553571428571,0.057545,859.3512230538742,0.5022067225191564
2014-09-06 09:12:00+00:00,299.428887744,16.57,71.0,251.8725,532.5,2.179,0.0,0.0781553571428571,0.057545,909.0316106119424,0.5468101469174911
2014-09-06 09:27:00+00:00,377.714211768,17.22,68.45,359.48,760.0,2.859,0.0,0.0786160714285714,0.057545,955.178188952586,0.6199292257938664
2014-09-06 09:42:00+00:00,485.29705060800006,17.41,67.73,404.415,855.0,2.55,0.0,0.0791830357142857,0.057916875,997.5932582635928,0.6417383349228012
2014-09-06 09:57:00+00:00,555.237949104,17.59,67.25,325.9916,689.2,2.944,0.0,0.0795553571428571,0.057545,1036.0951051086347,0.658726110403955
2014-09-06 10:12:00+00:00,629.403603768,17.46,68.11,403.942,854.0,2.927,0.0,0.0794491071428571,0.057545,1070.5187809204574,0.6361872286248791
2014-09-06 10:27:00+00:00,655.094295288,17.7,67.55,334.411,707.0,2.907,0.0,0.0800339285714285,0.057545,1100.7168086708527,0.6572345833088278
2014-09-06 10:42:00+00:00,681.28107228,17.71,66.76,297.37510000000003,628.7,2.909,0.0,0.0800339285714285,0.057545,1126.5598146897346,0.6736594758578569
2014-09-06 10:57:00+00:00,681.28107228,17.43,67.65,294.7263,623.1,3.026,0.0,0.0800517857142857,0.057545,1147.9370829265793,0.6441424653210281
2014-09-06 11:12:00+00:00,762.8942153520001,18.54,63.22,498.069,1053.0,2.744,0.0,0.0801580357142857,0.057545,1164.7570292796906,0.7852966780979644
2014-09-06 11:27:00+00:00,819.928406088,19.07,60.82,508.948,1076.0,2.807,0.0,0.0804062499999999,0.057545,1176.9475939610545,0.8647056809070366
