solar_TIMESTAMP,CAN_TUR_P39_PRE_Pst_Js_4,ta,rh,sw_in,ppfd_in,ws,precip,swc_shallow,swc_deep,ext_rad,vpd
2010-08-18 23:35:45+00:00,40.71262946182386,20.23,86.5999999999999,5.087000000000001,0.0,1.102,0.0,0.0527152777777778,0.066,0.0,0.3178186366472428
2010-08-19 00:06:00+00:00,40.96626053416278,20.01,86.9999999999999,5.3950000000000005,0.0,1.289,0.0,0.0527152777777778,0.066,0.0,0.3041647862525152
2010-08-19 00:36:00+00:00,24.49302008402732,20.02,87.2,5.929,0.0,1.421,0.0,0.0527152777777778,0.066,0.0,0.2996707536612595
2010-08-19 01:06:00+00:00,10.016344789471985,19.51,89.8,5.296000000000001,0.0,1.356,0.0,0.0527916666666667,0.066,0.0,0.2313655000908068
2010-08-19 01:36:00+00:00,10.210652720479986,19.1,92.6,5.496,0.0,1.49,0.0,0.0527916666666667,0.066,0.0,0.1636243329164437
2010-08-19 02:06:00+00:00,10.405657044745311,18.75,94.3,5.2490000000000006,0.0,1.32,0.0,0.053125,0.066,0.0,0.1233111874008887
2010-08-19 02:36:00+00:00,0.0,18.84,92.7,5.611000000000001,0.0,1.419,0.0,0.053125,0.066,0.0,0.158815494971698
2010-08-19 03:06:00+00:00,0.0,19.13,90.9999999999999,5.971000000000001,0.0,1.367,0.0,0.053125,0.066,0.0,0.1993750353192216
2010-08-19 03:36:00+00:00,0.0,19.14,90.8999999999999,5.606000000000001,0.0,1.339,0.0,0.053125,0.066,0.0,0.2017159860520969
2010-08-19 04:06:00+00:00,0.0,19.09,91.9999999999999,5.712000000000001,0.0,1.379,0.0,0.053125,0.066,0.0,0.1767809300705551
2010-08-19 04:36:00+00:00,0.0,19.25,92.7999999999999,5.901000000000001,0.0,1.433,0.0,0.053125,0.066,0.0,0.1606968114817362
2010-08-19 05:06:00+00:00,0.0,19.01,94.6,6.061000000000001,0.0,1.495,0.0,0.053125,0.066,0.0,0.1187332874249582
2010-08-19 05:36:00+00:00,0.0,19.01,95.7,17.629,0.0,1.405,0.0,0.053125,0.066,83.86581916845267,0.0945468770235775
