,,,,,mean_pi_width,mean_pi_width,mean_coverage_eps,mean_coverage_eps,winkler_score_norm,winkler_score_norm
,,,,,mean,std,mean,std,mean,std
dataset,ts_instance,fc_model,uc_model,alpha,,,,,,
air-10,air-10PRSA_Data_Aotizhongxin_20130301-20170228,reg-ridge,ourmodel,0.05,113.79391879620043,1.8538144778850014,0.007937262357414474,0.004147568227270584,1.8385587639496301,0.006346381874338626
air-10,air-10PRSA_Data_Aotizhongxin_20130301-20170228,reg-ridge,ourmodel,0.1,90.51082194885745,1.4410356964924578,0.018791047355686152,0.003139927808334626,1.4615685816939066,0.010196111831502357
air-10,air-10PRSA_Data_Aotizhongxin_20130301-20170228,reg-ridge,ourmodel,0.15,77.76595667947176,1.9615535184172792,0.034268060836501885,0.005091612832483063,1.2647031206357238,0.014821023774852005
air-10,air-10PRSA_Data_Aotizhongxin_20130301-20170228,reg-ridge,spic,0.05,132.65799986339547,0.32020903131871353,0.020942792948496367,0.00020419182622940794,1.9435372216853315,0.005939536009046927
air-10,air-10PRSA_Data_Aotizhongxin_20130301-20170228,reg-ridge,spic,0.1,99.6742020446126,0.19902517814757303,0.03585810577255444,0.0002855200426546823,1.515307270152975,0.0031722428231859712
air-10,air-10PRSA_Data_Aotizhongxin_20130301-20170228,reg-ridge,spic,0.15,83.24144184502853,0.24093593172038577,0.04831057725544416,0.0003105752196804075,1.3080714130478743,0.0036462679995814483
air-10,air-10PRSA_Data_Changping_20130301-20170228,darts-forest,default-conformal,0.05,273.81999221542,,-0.0016764604217075901,,5.090920294655922,
air-10,air-10PRSA_Data_Changping_20130301-20170228,darts-forest,default-conformal,0.1,197.5800007211268,,-0.02184583477359145,,3.872042167949179,
air-10,air-10PRSA_Data_Changping_20130301-20170228,darts-forest,default-conformal,0.15,169.58000328216923,,-0.043397856895955794,,3.335270336479733,
air-10,air-10PRSA_Data_Changping_20130301-20170228,darts-forest,enbpi,0.05,214.99287167907463,,-0.046439681991012824,,4.534006149907082,
air-10,air-10PRSA_Data_Changping_20130301-20170228,darts-forest,enbpi,0.1,176.64641362640876,,-0.050535776011061156,,3.6796432839908304,
air-10,air-10PRSA_Data_Changping_20130301-20170228,darts-forest,enbpi,0.15,148.75746280315462,,-0.05515036294503975,,3.197756282235412,
air-10,air-10PRSA_Data_Changping_20130301-20170228,darts-forest,knn,0.05,185.6392275345107,,-0.050155547874179016,,4.070672241206612,
air-10,air-10PRSA_Data_Changping_20130301-20170228,darts-forest,knn,0.1,156.62190499752398,,-0.05727618389215347,,3.304145875593226,
air-10,air-10PRSA_Data_Changping_20130301-20170228,darts-forest,knn,0.15,131.60269323171647,,-0.06733494642239893,,2.970235372708648,
air-10,air-10PRSA_Data_Changping_20130301-20170228,darts-forest,nexcp,0.05,267.8718144756018,,-0.0037504320774282424,,4.1620435372836475,
air-10,air-10PRSA_Data_Changping_20130301-20170228,darts-forest,nexcp,0.1,214.70799649730094,,0.0011406844106464364,,3.4141625658745145,
air-10,air-10PRSA_Data_Changping_20130301-20170228,darts-forest,nexcp,0.15,185.4089946212795,,0.0023159350155547986,,3.0205899858114353,
air-10,air-10PRSA_Data_Changping_20130301-20170228,darts-forest,ourmodel,0.05,105.98339036769451,13.221733675853192,0.0069218804009678475,0.011793629717887177,1.7928051018603235,0.09048075583213554
air-10,air-10PRSA_Data_Changping_20130301-20170228,darts-forest,ourmodel,0.1,85.41016006140077,10.15958454166217,0.02836156239198062,0.017342334248076387,1.388354623503399,0.08038366740215051
air-10,air-10PRSA_Data_Changping_20130301-20170228,darts-forest,ourmodel,0.15,73.38203355905881,8.605941503238467,0.04565330107155202,0.023862203755390696,1.1882943616791144,0.07191586107915712
